SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
1266,2,1,Suburb,1968,168891.59738738346
2724,3,2,Urban,1996,207053.04177493704
2287,5,3,Rural,2011,310456.1576377979
1868,2,3,Suburb,2019,231552.52564072804
2578,4,3,Urban,1955,280833.1223394274
2381,4,1,Urban,1981,233022.8725947844
2015,2,2,Rural,1957,179130.8112225635
2909,3,1,Suburb,1975,316188.0989404816
1784,4,1,Urban,1986,92679.10670126752
2104,2,2,Urban,1961,235340.8290254197
2324,3,3,Urban,1962,289711.1504881255
2237,3,1,Rural,1974,241789.8560528124
2051,3,3,Rural,1976,257362.4596121584
1636,2,3,Suburb,1981,227258.67129741985
1528,3,2,Rural,1999,177878.4191933664
2009,5,3,Urban,1993,261256.79921154596
2915,3,2,Rural,1973,376692.40875735617
1695,3,1,Urban,1964,202642.34969099992
1256,4,2,Suburb,1990,135345.87613475954
2692,5,1,Urban,2004,329583.12513805326
1655,3,1,Suburb,1955,277588.1509677096
2125,5,3,Rural,2016,259829.6042081854
1152,5,1,Rural,1995,148401.84193473752
2644,4,1,Suburb,1965,283187.8097048876
2454,5,3,Suburb,1959,308145.82180904923
2958,3,1,Urban,1984,315152.6037653377
2779,4,2,Suburb,1991,291646.996112196
1055,3,3,Suburb,1969,186776.34402016204
2689,5,2,Rural,1994,280597.5866229103
2740,2,1,Urban,2009,223871.70716511816
1873,2,1,Urban,1988,181019.15547257857
1300,4,1,Rural,1980,144361.49489732555
2321,5,3,Urban,1980,280411.3194722884
1978,4,2,Rural,2002,292362.6388040373
2466,5,1,Rural,2002,333198.1166740983
2648,3,1,Urban,1974,169982.90220502857
1449,3,3,Rural,1956,134936.90841719342
1721,4,1,Rural,1990,264132.4477671725
1857,5,1,Urban,2013,224108.9901101528
2454,5,1,Rural,1962,243633.51588979943
1930,2,1,Urban,1997,222664.7505035467
2702,3,3,Rural,2016,242475.48970317715
1838,2,2,Rural,2011,192215.9084635903
1600,2,2,Suburb,1962,132400.47742093133
2656,2,2,Suburb,2002,270336.66734329343
1266,4,3,Suburb,1971,219201.95862512133
1254,5,1,Suburb,2016,194578.0838162124
1564,3,2,Rural,2016,174882.6683920434
1090,3,3,Rural,1986,173474.0031638656
1004,3,2,Suburb,2010,104736.93021423064
1821,3,3,Urban,1951,102620.91177154332
2414,2,2,Rural,2001,275630.74698610394
2274,2,3,Urban,1954,178527.28448000294
1803,3,1,Rural,2014,155870.68091443687
1444,2,1,Rural,2008,196738.55931645032
2241,4,1,Suburb,1967,264943.1196050159
2393,4,2,Rural,2003,224573.9332988843
1174,5,2,Urban,1955,182543.2055327164
2989,4,1,Urban,2010,289565.131297605
1167,4,1,Rural,1992,216190.01886002356
1279,3,2,Urban,2011,60826.5300881568
1701,4,3,Suburb,1965,170880.0422559912
1790,4,1,Urban,2016,207820.83306313964
1801,5,2,Rural,1963,141273.01516188766
1508,3,2,Rural,2001,153247.00900491988
2946,2,3,Suburb,2010,394627.93893325154
1768,4,1,Urban,1988,273778.33950932825
1012,5,1,Rural,2009,196369.04112347623
1836,5,1,Suburb,1957,257286.4114633137
1877,3,1,Rural,1956,155414.11310720182
1470,2,3,Suburb,1998,144082.57903294163
1796,3,1,Rural,1975,151417.97264323907
1203,4,2,Suburb,1988,126764.18991629664
1105,4,1,Urban,1990,122680.87797868803
1158,2,3,Rural,1983,197037.5413605849
1520,3,1,Urban,2004,256272.9821288798
1995,5,3,Rural,1952,289180.624951792
2729,4,3,Rural,1978,352280.6942830327
2749,4,1,Urban,2016,248344.82125027708
2364,3,1,Urban,1958,247098.12211943604
2760,4,1,Suburb,2016,251452.71154256663
2318,2,1,Urban,2015,286703.7458904468
2641,5,3,Suburb,1970,339702.3677786455
1230,4,2,Rural,1952,154494.04756097274
2538,4,2,Urban,1971,277750.0470154398
1731,4,2,Rural,2015,248259.95371779968
1416,3,2,Suburb,2010,194625.04167303912
2483,2,1,Rural,1958,299562.6906994783
1389,3,3,Rural,1982,169288.55026184756
1269,4,2,Urban,1996,207007.2314096088
1158,2,2,Urban,1982,114972.99481521155
2766,4,2,Urban,1992,295949.2377404546
1295,2,2,Urban,2015,89879.80749908279
2907,2,2,Suburb,1979,348050.0877066979
2832,3,2,Rural,1985,346359.30572822376
1835,2,1,Suburb,1976,176373.3800650553
2468,2,3,Rural,2018,133850.21364804124
1031,2,2,Urban,2016,100708.77385410242
1178,3,1,Suburb,2005,192664.66042810032
2473,3,2,Rural,1981,266602.2768434368
2845,4,3,Urban,1954,354875.3530568744
1525,2,1,Suburb,1969,225603.0781767818
2013,3,1,Urban,1956,271120.5004783527
2563,3,2,Suburb,1982,187353.4402580848
1925,5,3,Urban,1971,290787.6107829126
1220,2,2,Suburb,2019,175474.10513599557
1623,3,1,Urban,1988,205946.1350690791
2682,4,3,Urban,1989,287862.634503919
2512,5,3,Urban,1977,325027.0496544842
1217,5,3,Suburb,2004,186778.1092600848
2216,3,3,Urban,2016,277464.6905767955
2311,4,2,Urban,1965,273112.1597874008
1233,3,2,Rural,1969,137377.28262092592
1301,3,2,Suburb,1979,108301.91940362068
1904,2,2,Rural,1984,175488.4707188838
2276,5,2,Rural,1950,219739.05447650963
1897,3,3,Rural,1983,279036.36933391023
1075,2,2,Suburb,1985,103088.93665231352
2280,3,3,Rural,1995,279972.3849370597
1153,4,3,Urban,1968,163228.10201830295
2858,3,1,Urban,1994,322740.48533498973
2110,2,2,Suburb,1983,288079.22640795854
1256,3,2,Rural,1996,141255.90015826325
1574,4,2,Urban,1981,137971.36277163282
1072,3,1,Urban,1969,93450.96070537076
2499,3,2,Urban,1980,341331.65431627136
2967,2,2,Rural,1957,330199.9611049484
1311,2,1,Suburb,2013,199779.53874137456
1959,2,2,Urban,1978,213078.0874391896
2731,2,2,Rural,2018,190777.92929438915
2993,3,2,Suburb,2015,330564.6875405883
1232,2,1,Suburb,1979,126844.0055593764
2129,4,3,Suburb,1982,160689.86150895694
2583,2,1,Rural,1953,268409.5610930452
2168,4,1,Suburb,2003,178835.37687913585
1619,2,1,Urban,1956,134187.15472332475
1988,3,3,Rural,1958,227620.75422187807
2537,2,2,Suburb,1973,79968.1280310706
1799,5,2,Rural,2006,241604.9736565046
1616,3,3,Rural,1969,176503.12968826733
1194,4,2,Suburb,1953,169840.72697171805
2572,4,3,Urban,1963,280766.05788820365
1941,4,3,Rural,1987,247277.49856707867
2959,5,2,Suburb,2021,319935.24990307656
1340,2,3,Suburb,1998,157909.61477907945
2270,2,1,Suburb,2014,230576.1148968016
2934,3,3,Rural,1951,356116.1240658375
2459,3,1,Urban,1967,257794.3501903728
1011,2,3,Suburb,2013,137967.29366320116
1652,5,1,Urban,1955,211503.9965270513
1803,5,3,Suburb,1952,268052.67682935257
1921,4,1,Suburb,1952,269558.54493962915
1214,5,3,Suburb,2011,110530.00872894136
2086,2,2,Suburb,1962,121548.196513174
2124,3,3,Rural,1986,196267.1504889665
2186,2,2,Suburb,2004,251164.13604019897
2772,3,2,Suburb,1996,274491.3663281739
2541,3,2,Suburb,1958,285622.0111690008
1797,3,3,Rural,2002,227885.58408907897
2111,2,3,Urban,1962,232669.2731921084
1199,2,3,Rural,1956,112910.52893100253
1991,2,2,Urban,2006,222476.12547169856
2944,2,3,Suburb,2021,298646.8609591783
2897,3,1,Suburb,1973,315344.5554967783
1610,5,2,Urban,2002,130997.08021258596
2470,4,3,Suburb,1968,235231.71507692704
2963,2,1,Suburb,1995,296079.41816367884
1856,5,1,Urban,1995,202004.8211358873
1216,3,1,Rural,1954,113444.07672610974
1865,3,1,Urban,1995,228890.53102069997
1082,4,2,Suburb,1957,46909.90595344009
1895,4,2,Suburb,1967,204244.2638130524
1670,2,2,Rural,1952,231497.85949025545
1011,5,2,Suburb,1967,61978.632805304325
2996,4,3,Rural,1985,310757.63505849487
1697,2,1,Urban,1990,224904.32239347167
1252,5,3,Urban,1967,224620.77838053452
1992,5,2,Suburb,1966,316983.62652259856
1242,4,2,Rural,1998,228473.0939140503
1533,5,1,Suburb,1971,142084.43900453582
2160,5,1,Urban,1974,182191.0753549545
1162,3,3,Suburb,1974,207619.01110999065
1672,5,1,Rural,1967,255018.41770074327
2264,3,2,Rural,2001,168390.0821732507
1203,5,3,Suburb,2006,96373.96510908476
2221,3,1,Suburb,1967,125753.93401614497
1663,4,2,Rural,1981,187777.99271896016
2251,3,3,Urban,1987,304037.02888741164
1788,4,3,Urban,2014,242813.39823717045
2593,3,3,Rural,2008,308411.26021916023
2030,2,3,Suburb,2017,308963.4030426608
1959,2,1,Suburb,2007,143888.1304476846
2234,3,1,Suburb,2011,230570.5057254177
2819,3,2,Urban,2018,231642.41525201904
2499,3,3,Urban,2007,227840.6638888248
2155,2,1,Urban,1959,86493.19369666491
1524,4,2,Urban,2003,170745.4653213651
2673,5,2,Suburb,1976,328378.6548259304
1531,3,3,Urban,1982,165986.54137100902
1282,3,1,Suburb,2008,59921.79111963543
1866,2,2,Rural,1981,236154.46676659555
2108,3,3,Urban,1984,132057.35647079456
1804,4,2,Urban,1974,186023.01129937667
2616,3,3,Rural,1961,301191.97010234895
1302,5,1,Urban,1997,229538.76610654785
1715,3,3,Urban,2005,222181.07719146385
2068,4,1,Suburb,1967,205000.5746883879
1161,5,2,Rural,1964,206183.681177811
2429,5,1,Urban,1993,230330.97243445268
2711,4,3,Urban,1981,307703.29353127617
1031,2,1,Rural,1998,71201.17112065424
2525,3,3,Rural,1954,243084.1724220331
2484,2,3,Urban,1997,354538.82144245284
2954,4,2,Rural,2008,365765.5364972489
2671,5,3,Rural,2012,213976.85964899743
2630,3,3,Urban,2003,302065.85989207414
1837,3,3,Rural,1976,129730.19741095706
1166,4,1,Urban,1961,189535.73504675544
1844,4,1,Suburb,1951,281672.4279834333
2518,5,2,Rural,1963,239860.69522881467
2208,3,3,Rural,2003,202186.151939807
2442,4,2,Rural,1967,314774.1617173991
1466,3,2,Urban,1957,157828.69086101247
2262,4,2,Urban,2009,244341.1898199459
1925,2,1,Rural,1967,246515.6653024236
2758,2,2,Rural,1956,322115.8717561388
2148,2,1,Suburb,1987,219271.68994897488
2461,4,1,Urban,1986,238185.43834233205
1638,5,1,Suburb,1972,266057.412822454
1532,2,1,Suburb,1988,130234.43030128902
1499,3,3,Suburb,1965,119171.45839436696
1793,4,3,Urban,1988,279306.85576018086
1687,3,2,Suburb,1972,196730.85557769684
1845,4,3,Rural,1971,295297.4313765608
2538,5,3,Urban,1985,279512.6699718643
1900,4,1,Rural,1955,172501.71425401728
1960,4,2,Rural,1968,244555.7617519146
2648,4,3,Rural,1996,270305.8356340616
1438,3,1,Suburb,1980,193372.26989961008
2968,5,2,Suburb,1960,322702.9923811071
1286,5,2,Suburb,1964,284732.1584882218
2940,4,3,Suburb,1967,283459.5271431974
1398,2,3,Rural,2012,133550.67170962924
1726,5,1,Suburb,2020,222047.81479721228
2613,2,2,Rural,1984,283782.13071159925
2399,4,1,Rural,1965,290876.8517140097
2605,4,3,Suburb,2015,346052.0084422652
1044,4,2,Suburb,1977,119609.57872387416
2335,3,1,Rural,1969,249264.2772670316
2540,3,2,Rural,1979,253734.61705661955
1402,3,3,Suburb,1978,123901.17917934372
2546,3,3,Rural,2014,261128.81389524203
2988,5,2,Rural,2010,277685.52280343627
1527,4,1,Suburb,1950,169473.15240996715
2351,5,3,Rural,1997,257916.44853429132
1130,5,3,Urban,1989,196245.1083797401
2429,4,2,Urban,1962,260633.3864145707
1854,2,1,Urban,2020,185066.4393917579
2143,5,3,Urban,1971,154350.61345603276
1717,3,2,Suburb,1992,179494.55410458692
1687,4,3,Suburb,1970,197279.646167738
1627,2,2,Urban,2002,273875.57991067995
2438,5,1,Urban,1984,260287.50729146964
2000,4,2,Suburb,2000,197174.35502127657
2503,3,2,Suburb,1973,239745.1471324849
1449,5,2,Suburb,1974,188040.82724003048
1858,2,2,Rural,2007,140174.49994516213
2248,5,1,Rural,1987,343919.2235647388
2180,5,2,Rural,2018,293130.67049797287
2057,5,3,Suburb,1962,265269.5753752197
1870,2,2,Suburb,1970,324674.86241040775
1801,2,3,Suburb,1958,170063.95440357117
1830,4,1,Rural,1984,237258.79899479848
2964,3,1,Urban,1967,305111.9623202835
2146,4,1,Urban,1996,168556.85680303484
1539,3,2,Suburb,2011,171285.1853182975
2385,3,3,Suburb,1971,313850.162337306
2638,2,3,Rural,1955,260560.83388064415
1365,4,2,Urban,1978,128850.92057727015
2624,4,3,Urban,1975,229792.86939657264
2123,4,3,Urban,1972,247997.5807889804
2194,3,1,Suburb,1964,184159.628603182
1524,5,3,Rural,1998,136180.8993742685
2598,2,3,Urban,2003,310744.20055831043
1420,2,1,Suburb,2019,95897.52426136282
2502,5,3,Rural,1977,311977.312822173
2583,2,2,Rural,1987,222233.1970747624
1606,2,3,Urban,1987,208389.9909029688
1890,5,2,Rural,1994,207229.5530661613
1532,2,3,Rural,1967,116974.66018045072
2116,5,2,Rural,1952,233798.3641712269
1606,3,1,Suburb,1965,159660.72557023022
1321,3,3,Suburb,1988,155085.3168377971
1395,2,2,Urban,1997,140943.5540076569
1148,2,2,Urban,1966,143779.14562103586
2665,5,3,Rural,1997,344862.8603107464
2074,3,3,Suburb,1984,230407.92831643383
2377,3,2,Rural,2005,301143.07795586425
1355,3,3,Rural,1973,143423.61669273433
2912,2,1,Urban,2005,249657.50507524863
1601,4,1,Urban,1986,217525.871485463
2816,4,1,Urban,2007,375703.5257296969
2895,4,1,Rural,1968,267363.027013235
1027,2,1,Urban,1982,182161.0858086525
2576,3,3,Rural,2020,231217.5631848287
2543,4,2,Suburb,1982,342724.96153419773
2700,4,1,Suburb,1970,326396.38833777193
2356,2,1,Urban,1987,174927.20773319143
2406,5,1,Urban,1955,311847.4937781256
1508,2,1,Rural,2013,163184.85523546758
2463,4,1,Rural,1997,268952.3994179631
1996,3,1,Urban,1975,261967.62330422923
2342,4,3,Urban,1993,291661.7114244102
2772,2,2,Suburb,1995,342737.12062139047
2357,3,1,Urban,1990,251597.00202412045
2033,4,3,Urban,1990,189673.98896954095
2093,4,2,Rural,1991,240722.30698666445
2602,4,2,Suburb,2017,252048.28774478709
1897,3,3,Rural,1950,242940.39608786
2549,2,1,Rural,1964,236545.0369625277
2617,5,2,Suburb,1971,262420.3993796079
2933,4,3,Suburb,1982,395052.753739294
2352,2,3,Urban,1981,259203.78476437845
1375,5,2,Urban,1986,207382.8497481245
1623,2,1,Urban,1966,165757.70448390525
2375,3,2,Urban,1952,251107.92883343063
1043,4,2,Urban,2020,93343.500750913
1347,3,1,Rural,1960,37107.80959469125
1633,5,2,Rural,1985,168466.3105754887
1975,2,1,Rural,2000,222048.0762568056
1564,4,3,Rural,1974,251259.29882123895
1699,5,3,Suburb,1957,189809.8962259773
2226,4,1,Urban,1999,277521.3029664508
2005,4,3,Urban,1965,224765.3841495282
1091,2,1,Rural,2009,159473.55864304473
1633,5,3,Urban,1997,268609.8213184868
2841,2,3,Urban,1983,335888.63898346835
1672,3,3,Urban,1954,209045.0524295769
1993,4,3,Rural,1989,213688.9383934445
1927,5,2,Rural,1959,173302.51324455108
1129,3,3,Suburb,1961,138940.06130506107
2596,3,3,Urban,1958,280277.56011469854
2460,4,2,Urban,2004,373150.3009732552
2885,4,3,Suburb,2021,309760.58258888463
1880,3,3,Suburb,1966,173460.46274330383
1449,5,2,Urban,1982,175553.5378543746
2763,4,3,Suburb,1980,355956.24519577506
2121,5,3,Suburb,1957,269319.83769701
1211,3,3,Rural,1965,260066.5757400637
2412,3,2,Rural,1977,276491.3655543078
1673,3,3,Rural,1953,213594.9613125733
1905,3,1,Suburb,2016,175872.48907531388
2179,2,1,Suburb,1975,190994.9565445869
2075,4,2,Rural,2005,258870.30874022603
1617,4,3,Suburb,1978,203303.07779085828
1155,3,2,Urban,1958,153950.42906602897
1103,5,3,Suburb,2007,101207.15798712964
2715,5,3,Suburb,2018,280526.40424461506
1774,4,1,Rural,2006,194170.9916842773
2917,4,1,Suburb,1977,328750.75447999995
1919,4,2,Urban,1987,204066.9078203709
1751,4,3,Urban,1971,230526.2541607523
1998,2,1,Urban,1999,224963.86834317236
1360,2,2,Suburb,2015,219978.16929610583
2337,3,3,Suburb,2008,331851.0816694101
2273,3,2,Rural,1954,182788.72538058733
2771,4,3,Rural,1995,253187.86506727815
1528,5,2,Urban,1999,73461.29574241965
1951,2,3,Urban,2014,191929.7076275636
2770,5,1,Urban,1954,251814.95340051167
1596,2,2,Urban,1956,262574.3485018627
1445,4,1,Suburb,1961,218366.5078195626
2399,3,2,Suburb,1964,223783.37750872152
1797,4,1,Suburb,1978,190920.0275866181
2791,2,2,Rural,1971,283855.63099369843
2227,5,3,Urban,1966,362819.03557498
1604,5,2,Suburb,1960,200561.2614395493
1370,5,1,Rural,1950,113110.58792579538
2444,4,3,Urban,2019,233624.75849187304
1299,2,3,Urban,1987,153612.44524763696
1652,3,3,Rural,1952,179223.09759268633
2643,3,1,Rural,1978,307193.4657752924
1910,5,1,Urban,2020,188609.7456983129
2877,2,3,Urban,1992,353207.3733649813
2450,2,2,Urban,1952,253411.8635105314
1696,4,1,Urban,2015,244706.58312272167
2372,4,2,Suburb,2007,235990.1226047125
2658,2,3,Suburb,1956,243577.4521940983
2773,5,1,Rural,1957,343899.56914933334
2312,5,2,Rural,1983,225649.31075346685
1599,4,1,Suburb,2004,237682.36930803524
2409,2,1,Rural,1981,291715.3056225845
2040,5,2,Rural,1997,232486.43106727343
2888,2,3,Suburb,1967,349753.83016419044
1301,5,1,Suburb,2007,179836.3004954042
1407,2,3,Suburb,2004,196097.778699311
2838,3,2,Rural,1983,403821.2673019447
1480,4,3,Urban,1998,192665.0284525914
2771,4,3,Urban,1966,269490.62394727627
2871,2,3,Rural,1959,372886.5589262901
2443,5,1,Rural,1972,217212.34651376877
1671,5,1,Suburb,2000,183244.6712002448
1652,3,1,Suburb,2010,105875.87810278343
1659,5,3,Suburb,2020,317709.0755354517
2620,4,3,Urban,2017,333104.5052874972
1638,3,2,Suburb,1961,20170.64415407713
1816,5,1,Rural,2005,192165.6432909844
1467,4,1,Suburb,1989,37922.109994070604
2274,3,2,Rural,1959,268375.7781398747
1674,3,3,Suburb,1992,189283.19500932045
2675,4,1,Rural,2017,259865.1875193409
1496,4,3,Urban,1950,97924.26473412922
1365,5,2,Suburb,1959,202148.78382921044
1110,2,1,Suburb,1994,141237.43169466424
1558,2,1,Rural,1972,143831.050256228
2841,4,1,Suburb,1967,244172.7691548456
1285,3,1,Suburb,1989,79935.45027610265
2296,5,2,Rural,1972,242375.85000467623
2607,3,1,Rural,1992,224589.92061303576
1681,4,1,Rural,1975,128702.11481480266
2234,3,2,Suburb,1988,252086.0103103331
2687,2,2,Rural,1954,202600.50046700568
1445,4,1,Rural,2021,185532.52649169872
1577,5,2,Suburb,1995,293715.561790576
2570,3,2,Urban,1992,223196.4117852837
1275,2,1,Rural,1970,117119.09434784092
1787,2,3,Urban,1980,188862.8411214995
2458,2,3,Suburb,1957,304704.2677905452
2530,3,3,Rural,1968,283997.7474925049
2290,2,3,Rural,1954,257314.80091885405
1683,5,3,Urban,1986,208774.14233121456
1991,3,1,Rural,1988,200908.80466852157
1583,2,1,Suburb,2010,128673.3817437062
2878,4,1,Rural,1995,311561.9174189448
2151,4,2,Urban,1973,274134.4136883286
1454,5,1,Rural,1985,76367.3543496802
1903,5,1,Rural,1995,270224.09964097873
1947,5,2,Suburb,1998,215538.5837946256
1915,3,3,Rural,1994,236271.42743079463
1589,2,1,Suburb,2017,162111.01134199044
2679,4,2,Suburb,2012,299077.455790995
2282,3,3,Suburb,2010,243446.3519360252
1098,5,2,Rural,1999,123240.7508088375
1821,3,3,Suburb,2018,252366.5050513955
2896,4,3,Rural,1969,330535.0711939097
2652,5,1,Suburb,1952,377078.8407876664
1007,5,2,Urban,2014,161247.8099636203
1185,2,3,Suburb,1978,126872.86987266378
1049,2,2,Rural,1957,110778.34183391753
1312,5,2,Rural,2016,146185.55436361447
2025,4,1,Suburb,1979,226313.21321728436
1992,4,3,Urban,1955,232420.9241196928
2908,3,1,Urban,1958,246697.5867195166
2308,4,3,Suburb,1996,263399.88321551966
1915,5,3,Rural,1975,215103.30748261305
1260,4,3,Rural,1976,160109.6137389989
1763,3,3,Urban,2004,144451.458141209
1095,3,3,Suburb,1952,165602.19097144008
2799,2,2,Rural,1986,284346.1624260116
1082,4,3,Urban,1987,75134.31537575967
1840,5,3,Suburb,1961,216148.20845399628
1656,3,2,Rural,1980,99796.50574097554
2806,5,3,Rural,1966,358092.415606291
1820,5,3,Rural,2004,220151.59232038583
2869,2,3,Urban,1965,279499.62890213926
2053,2,2,Urban,2020,183770.18657360724
1441,3,1,Suburb,1990,87839.06307466829
2729,2,3,Suburb,1989,223653.31243024976
1862,3,2,Urban,1985,243122.00518465228
2278,5,2,Rural,2007,205036.9290818578
1142,5,3,Urban,1990,157416.76959023427
2241,5,2,Suburb,1964,305440.0692755289
1020,2,3,Urban,1954,160945.42123150546
1485,5,2,Rural,1981,254285.5190189728
1063,5,3,Suburb,1980,133901.19969992974
1158,3,1,Suburb,2008,167100.6520828152
2168,3,2,Suburb,1968,218365.53163686363
2203,5,1,Suburb,1984,263493.245593864
2141,2,3,Rural,1974,197925.801415755
1796,5,1,Rural,1990,240710.03930893887
1876,5,1,Rural,2003,204584.97505890383
1627,5,1,Urban,1981,216261.95203332143
1352,3,3,Rural,2003,285281.39130150416
1703,3,1,Rural,1995,198207.23790381924
2462,5,2,Urban,1998,285854.72745733213
2633,2,3,Urban,1975,265103.0945312508
2764,5,1,Suburb,2014,292998.1831957764
2549,5,1,Rural,1968,278339.551268078
2381,3,1,Rural,1972,361918.4000597631
1161,5,3,Urban,1971,178691.81804341768
1553,2,1,Suburb,2016,136636.2657999078
2467,5,1,Rural,2009,249927.9760267623
2504,2,3,Suburb,1967,318195.5741229543
1226,3,3,Rural,1984,174781.93014565014
1936,4,3,Suburb,1984,293057.0640430008
1756,5,1,Urban,2006,161525.20899735187
2262,5,1,Suburb,1989,223965.5068175371
2351,2,2,Rural,1958,285327.83494241146
2452,4,3,Rural,1978,301260.64852085826
1559,3,2,Suburb,2002,153069.08580902466
2596,5,3,Urban,1954,275229.1490603287
1238,4,2,Rural,2008,111060.40558764397
1645,2,2,Rural,1966,272352.8512201058
2035,4,2,Rural,2000,183813.67330562032
2632,4,3,Rural,2007,319959.4150575197
2383,4,1,Urban,2001,207469.94103543743
1966,4,3,Urban,2021,200339.80450183133
2569,2,3,Suburb,1986,277308.2757860356
1065,2,2,Urban,1999,120262.98402362988
2403,5,3,Rural,1983,224080.62261305368
1090,4,1,Suburb,1970,153786.7342057468
1611,3,2,Urban,1964,259160.65814700123
1258,3,3,Suburb,1957,99434.2626089232
2252,5,1,Rural,2013,173242.35553714004
2549,2,2,Rural,1972,238281.20364594812
1998,2,3,Suburb,2009,256245.0813954644
1739,4,3,Urban,2013,178189.21432899334
1778,3,2,Suburb,1957,257274.44572974544
1708,2,2,Suburb,1992,184988.6208532949
1000,3,3,Rural,1985,82407.0109038562
2310,4,1,Suburb,1950,208554.650732288
1316,2,2,Urban,1958,199608.1521441237
1072,5,2,Rural,1951,170284.95366635823
1389,4,3,Urban,2000,129508.25149105424
2520,2,3,Urban,1959,246466.6890432276
2771,5,3,Urban,2013,302091.47060414485
2987,5,1,Suburb,1963,305441.7881772676
2454,2,2,Suburb,1951,349485.75234197953
2574,4,2,Rural,2018,346205.768244373
2558,3,1,Rural,2019,282511.50303658826
2296,3,2,Suburb,1996,296375.0009283503
2546,4,3,Suburb,2000,289518.9248021924
2913,5,2,Urban,2006,280824.0460763258
1239,5,2,Urban,1995,89692.47885441557
1098,3,2,Urban,2001,90076.49987904422
2722,2,1,Suburb,1981,274738.80605860794
1192,4,2,Suburb,2003,98630.42290160769
2957,5,1,Suburb,2001,482577.163405434
1166,4,1,Suburb,1998,58483.33236478173
2587,2,1,Urban,2006,268603.9479049797
2755,2,3,Rural,1995,301395.74885457195
1704,5,3,Urban,2017,105439.0205130888
1107,5,1,Rural,1992,189424.65538733389
2254,4,3,Urban,1996,181525.62505657665
1825,2,3,Rural,2005,231129.43241607503
2299,2,1,Urban,2019,253728.95083416995
2939,5,3,Rural,1963,315310.393655883
1567,2,1,Suburb,2012,142124.2716006735
2158,4,2,Rural,2018,241870.96526016123
1893,4,2,Urban,2021,214936.75763481096
1710,3,2,Urban,1951,266758.36826011544
2347,5,3,Urban,2014,251483.01710696364
1369,3,3,Rural,1961,163609.2605750485
2941,3,1,Suburb,1952,257287.84146596116
1634,4,3,Urban,2018,183850.59339529512
1490,2,1,Suburb,1982,246946.03094606983
2098,4,2,Rural,2006,279289.0812006221
1000,4,2,Suburb,2009,225548.42365324788
2454,2,3,Urban,2000,338559.3812932573
1654,4,1,Rural,1971,210836.82271472624
1620,2,1,Suburb,2005,242332.5194727534
1527,5,3,Suburb,1958,221436.94870114085
2077,2,2,Suburb,1964,268723.03730299725
2783,2,1,Rural,2014,272816.99387201766
2645,4,2,Urban,1963,251447.0512340971
1600,5,1,Urban,1960,249855.8613852804
2843,5,2,Urban,1988,295895.5580713673
1499,4,2,Urban,1953,278258.5570178535
2599,4,3,Suburb,2008,315717.528150808
2509,5,3,Rural,1979,406128.7824883196
1770,4,2,Suburb,2009,157957.381790547
1889,3,2,Rural,1985,285572.91395596345
2372,2,3,Rural,2018,330386.8819854371
2091,5,2,Suburb,1959,298536.8939383533
1661,5,1,Suburb,1969,122092.49656982282
1482,5,3,Suburb,2020,233151.27465981245
1905,5,1,Suburb,1980,158209.80522936213
1847,2,2,Urban,1960,185298.2408474053
2887,3,1,Urban,1961,269412.1859109676
2370,2,1,Suburb,1961,227108.80129208192
2157,2,2,Urban,2001,237185.61641995845
2542,5,2,Suburb,1969,245920.4480703304
1731,2,2,Suburb,1987,98117.22156145563
2486,2,1,Urban,1992,196510.98224649
2492,2,1,Urban,2014,211090.73330006097
1323,4,3,Suburb,1971,169048.5959089782
2738,4,3,Rural,2000,248368.15795600583
2100,4,2,Rural,2020,207490.5623808645
2308,3,1,Suburb,2017,226907.7276850509
1591,4,1,Urban,1983,187458.1297076189
1407,2,2,Rural,1995,190412.6168588852
2338,3,3,Suburb,2010,263524.2209787013
2336,5,3,Suburb,1970,270147.1189992621
2786,3,1,Suburb,1959,411541.8263499134
2859,5,3,Rural,2010,354839.04905601847
2882,5,2,Rural,1978,357769.4695248327
1445,3,3,Rural,1967,100917.3664761898
2503,2,2,Suburb,2021,252741.5704898988
1717,4,2,Urban,1998,240869.4072498032
2105,3,3,Suburb,2005,150143.20796998782
2892,3,1,Urban,1951,388167.5938252345
2299,4,1,Rural,1966,193466.8649285656
1814,3,1,Rural,1989,162801.7503184493
1826,5,2,Urban,1984,97779.5135708654
1395,2,2,Suburb,1994,109728.06422781876
2524,2,1,Suburb,2014,299509.30516084755
2772,3,2,Urban,1968,284985.43569363654
1273,4,2,Rural,2020,189411.0376483512
2321,4,3,Rural,1977,229050.9289439172
1642,4,3,Suburb,1971,207429.58310856496
2717,4,1,Suburb,1986,376240.0243022581
1872,3,3,Urban,2021,180881.95446220407
1860,4,1,Suburb,2014,222682.9837075144
2863,5,1,Urban,1986,361807.0689421743
1589,2,3,Suburb,1981,96305.22292653404
2564,3,1,Urban,1977,274779.10296444927
2967,2,1,Suburb,1991,264987.83969826216
1902,5,3,Rural,1988,172437.930513851
1269,2,3,Suburb,1993,104082.36214625288
2526,2,2,Urban,2002,323391.25717542344
1765,4,1,Suburb,1961,183477.80679976696
1503,2,1,Rural,2013,84618.0373298793
1915,3,3,Rural,1975,221241.9399886433
1074,2,2,Rural,1984,150109.2801933447
2269,5,3,Urban,1966,315505.35170781537
2040,5,3,Urban,1964,224483.8792327053
